Rxn	Flux
acOUT	0.70	1.30	1.30	2.10	1.70	1.00	0.90
acIN	0.00	0.00	0.00	0.00	0.00	0.00	0.00
biomassOUT	0.17	0.40	0.37	0.19	0.20	0.31	0.23
co2OUT	15.40	33.80	32.00	24.00	20.60	25.50	23.10
ethOUT	9.00	29.60	28.20	15.20	11.20	20.10	15.60
glyOUT	0.60	1.70	1.50	2.60	2.40	2.90	2.80
glcIN	7.20	19.35	18.31	12.30	10.20	14.69	12.20
o2IN	6.03	3.19	2.90	7.42	8.12	3.83	6.01
ethIN	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PIIn	0.07	0.17	0.16	0.08	0.08	0.13	0.09
PIOut	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
galIN	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gluActiveIn	0.00	0.00	0.00	0.00	0.00	0.00	0.00
GAL1	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
GAL10	0.00	0.00	0.00	0.00	0.00	0.00	0.00
GAL7b	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PGM1_2	0.00	0.00	-0.00	-0.00	-0.00	-0.00	-0.00
HXK	7.20	19.35	18.31	12.30	10.20	14.69	12.20
PGI	6.24	17.78	17.05	11.22	9.09	13.47	10.93
PFK	6.51	17.98	17.10	11.53	9.41	13.64	11.30
FBP	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
FBA	6.51	17.98	17.10	11.53	9.41	13.64	11.30
TPI	5.91	16.26	15.58	8.92	7.00	10.73	8.49
GLD	12.49	34.17	32.55	20.53	16.49	24.32	19.87
PGK	12.43	34.03	32.42	20.47	16.42	24.21	19.80
GPM	12.43	34.03	32.42	20.47	16.42	24.21	19.80
ENO	12.43	34.03	32.42	20.47	16.42	24.21	19.80
CDC	12.27	33.65	32.06	20.28	16.23	23.92	19.58
ZWF	0.52	0.55	0.31	0.59	0.60	0.43	0.69
PGL	0.52	0.55	0.31	0.59	0.60	0.43	0.69
GND	0.51	0.51	0.27	0.57	0.59	0.41	0.67
RPI	0.23	0.31	0.22	0.26	0.27	0.24	0.30
RPE	0.28	0.20	0.05	0.31	0.32	0.16	0.37
