Rxn	Flux
acOUT	0.36	0.62	0.14	0.00
acIN	0.00	0.00	0.00	0.00
biomassOUT	0.30	0.21	0.20	0.07
co2OUT	26.64	14.41	29.15	5.64
ethOUT	23.88	11.16	27.62	0.00
glyOUT	1.02	0.10	1.89	0.00
glcIN	14.96	0.00	16.36	0.00
o2IN	2.13	3.12	0.50	9.78
ethIN	0.00	0.00	0.00	4.17
PIIn	0.13	0.09	0.09	0.03
PIOut	-0.00	-0.00	-0.00	-0.00
galIN	0.00	7.71	0.00	0.00
gluActiveIn	0.00	0.00	0.00	0.00
GAL1	-0.00	7.71	-0.00	-0.00
GAL10	0.00	7.71	0.00	0.00
GAL7b	0.00	7.71	0.00	0.00
PGM1_2	-0.00	7.71	0.00	0.00
HXK	14.96	-0.00	16.36	-0.00
PGI	13.55	6.85	15.65	-0.19
PFK	13.85	6.98	15.69	-0.00
FBP	-0.00	-0.00	-0.00	0.21
FBA	13.85	6.98	15.69	-0.21
TPI	12.81	6.88	13.80	-0.21
GLD	26.69	13.84	29.43	-0.46
PGK	26.59	13.77	29.36	-0.49
GPM	26.59	13.77	29.36	-0.49
ENO	26.59	13.77	29.36	-0.49
CDC	26.30	13.57	29.16	0.11
ZWF	0.64	0.32	0.19	0.01
PGL	0.64	0.32	0.19	0.01
GND	0.61	0.30	0.17	-0.00
RPI	0.31	0.17	0.13	0.02
RPE	0.30	0.13	0.04	-0.02
TKLa	0.19	0.09	0.05	-0.00
TAL1	0.19	0.09	0.05	-0.00
TKLb	0.11	0.04	-0.01	-0.02
DAR	1.02	0.10	1.89	0.00
GPP	1.02	0.10	1.89	-0.00
PDC	24.47	11.78	28.49	-0.00
ADH1	23.88	11.16	27.62	-4.17
ALD6	0.56	0.62	0.87	0.42
ALD2	0.04	-0.00	-0.00	3.75
ICL1	0.04	0.39	0.03	0.79
MLS1	0.04	0.39	0.03	0.79
ATPX	1.21	1.00	7.73	8.22
PDH	0.85	1.47	-0.00	-0.00
ACS	0.23	-0.00	0.73	4.17
ADK1_1	0.23	0.00	0.73	4.17
PCK	-0.00	-0.00	-0.00	0.66
PYC	0.52	-0.00	0.36	-0.00
CIT	0.31	0.58	0.21	3.20
ACO	0.31	0.58	0.21	3.20
IDH	0.00	0.00	0.00	2.35
IDPH	0.28	0.19	0.19	0.06
KGD1	0.24	0.17	0.16	2.40
LSC2	0.24	0.17	0.16	2.40
SDH12	0.28	0.55	0.19	3.20
FRDS2	-0.00	-0.00	-0.00	-0.00
FUM1	0.28	0.55	0.19	3.20
MDH1	0.31	0.94	0.21	3.99
NDI1	1.79	2.85	0.64	8.83
NDE2	2.05	2.73	0.07	7.51
SDH34	0.28	0.55	0.19	3.20
RIP1	4.12	6.14	0.90	19.54
COX1	8.24	12.28	1.80	39.07
ATP1	4.25	6.42	0.90	21.35
ShuttleX	-0.00	-0.00	-0.00	-0.00
ATPTransport	4.49	6.58	1.06	23.75
OAC1	-0.00	-0.00	-0.00	-0.00
PyrTrans	1.30	1.78	0.31	0.11
CAT2	-0.00	-0.00	0.58	4.11
CO2TRANS	1.36	1.83	0.35	4.81
ShuttleXRev	-0.00	-0.00	-0.00	-0.00
ATPTransportRev	-0.00	-0.00	-0.00	-0.00
OAC1Rev	-0.00	0.36	-0.00	0.78
PyrTransRev	-0.00	-0.00	-0.00	-0.00
CAT2Rev	-0.00	0.16	-0.00	-0.00
HDECOUP	-0.00	-0.00	-0.00	-0.00
VGROPROTALT	-0.00	-0.00	-0.00	-0.00
VGROPROT	1.11	0.77	0.76	0.26
VGRORNA	0.11	0.08	0.08	0.03
VGRODNA	0.01	0.00	0.00	0.00
VGROLIPID	0.01	0.01	0.01	0.00
VGROGLYCOGEN	0.01	0.01	0.01	0.00
VGROTREHALOSE	0.01	0.01	0.01	0.00
VGROMANNAN	-0.00	-0.00	-0.00	-0.00
VGROGLUCAN	0.74	0.51	0.50	0.17
VGROMAINTAIN	16.50	11.40	11.24	3.85
GROWTH	0.30	0.21	0.20	0.07
