Rxn	Flux
acOUT	0.00	0.00	0.00	0.01	0.12	1.12	0.81	0.44	0.38	0.02	0.00	0.00	0.00
acIN	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
biomassOUT	0.04	0.08	0.13	0.18	0.21	0.28	0.30	0.33	0.35	0.38	0.40	0.42	0.45
co2OUT	2.06	3.53	4.96	6.43	7.60	10.90	13.80	16.80	20.00	23.20	26.30	29.50	32.70
ethOUT	-0.00	-0.00	0.00	0.00	0.00	2.37	5.46	8.68	12.35	15.89	18.85	23.07	26.72
glyOUT	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
glcIN	0.58	1.13	1.68	2.22	2.68	4.74	6.31	7.92	9.82	11.57	13.23	15.33	17.24
o2IN	2.05	3.50	4.91	6.36	7.51	8.42	8.22	7.99	7.51	7.16	7.29	6.26	5.80
ethIN	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PIIn	0.02	0.04	0.06	0.07	0.09	0.12	0.13	0.14	0.15	0.16	0.17	0.18	0.19
PIOut	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
galIN	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gluActiveIn	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
GAL1	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
GAL10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
GAL7b	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PGM1_2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
HXK	0.58	1.13	1.68	2.22	2.68	4.74	6.31	7.92	9.82	11.57	13.23	15.33	17.24
PGI	0.37	0.65	0.93	1.22	1.54	3.75	5.03	6.31	8.04	9.47	10.98	12.94	14.71
PFK	0.43	0.79	1.15	1.51	1.85	3.83	5.25	6.69	8.49	10.07	11.63	13.63	15.44
FBP	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
FBA	0.43	0.79	1.15	1.51	1.85	3.83	5.25	6.69	8.49	10.07	11.63	13.63	15.44
TPI	0.43	0.79	1.14	1.50	1.84	3.82	5.23	6.68	8.47	10.06	11.62	13.62	15.42
GLD	0.88	1.61	2.34	3.08	3.75	7.57	10.47	13.43	17.03	20.28	23.41	27.42	31.05
PGK	0.87	1.59	2.30	3.02	3.67	7.47	10.36	13.32	16.91	20.15	23.27	27.27	30.89
GPM	0.87	1.59	2.30	3.02	3.67	7.47	10.36	13.32	16.91	20.15	23.27	27.27	30.89
ENO	0.87	1.59	2.30	3.02	3.67	7.47	10.36	13.32	16.91	20.15	23.27	27.27	30.89
CDC	0.83	1.50	2.17	2.84	3.47	7.21	10.07	13.01	16.58	19.79	22.89	26.86	30.46
ZWF	0.11	0.26	0.41	0.54	0.59	0.28	0.51	0.77	0.88	1.14	1.22	1.30	1.37
PGL	0.11	0.26	0.41	0.54	0.59	0.28	0.51	0.77	0.88	1.14	1.22	1.30	1.37
GND	0.11	0.25	0.39	0.53	0.57	0.26	0.49	0.75	0.85	1.10	1.19	1.26	1.33
RPI	0.05	0.11	0.18	0.24	0.27	0.18	0.27	0.36	0.41	0.50	0.54	0.57	0.60
RPE	0.06	0.14	0.22	0.29	0.31	0.07	0.22	0.38	0.44	0.60	0.65	0.69	0.73
TKLa	0.03	0.08	0.13	0.17	0.18	0.07	0.15	0.23	0.27	0.35	0.38	0.40	0.43
TAL1	0.03	0.08	0.13	0.17	0.18	0.07	0.15	0.23	0.27	0.35	0.38	0.40	0.43
TKLb	0.03	0.06	0.09	0.12	0.12	0.00	0.07	0.15	0.17	0.25	0.27	0.29	0.31
DAR	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
GPP	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PDC	0.70	0.47	0.12	0.01	0.12	3.48	6.26	9.11	12.73	15.90	19.42	23.11	26.81
ADH1	-0.00	-0.00	0.00	0.00	0.00	2.37	5.46	8.68	12.35	15.89	18.85	23.07	26.72
ALD6	0.00	0.00	0.00	0.01	0.12	1.12	0.81	0.44	0.38	0.02	0.00	0.00	0.00
ALD2	0.70	0.47	0.12	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	0.57	0.04	0.09
ICL1	0.00	0.01	0.02	0.02	0.03	0.03	0.04	0.04	0.04	0.05	0.05	0.05	0.06
MLS1	0.00	0.01	0.02	0.02	0.03	0.03	0.04	0.04	0.04	0.05	0.05	0.05	0.06
ATPX	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
PDH	0.01	0.76	1.62	2.25	2.65	2.83	2.83	2.84	2.70	2.67	2.17	2.37	2.19
ACS	0.70	0.47	0.12	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	0.57	0.04	0.09
PCK	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
PYC	0.06	0.15	0.23	0.31	0.37	0.48	0.52	0.57	0.61	0.66	0.70	0.74	0.79
CIT	0.62	1.01	1.40	1.80	2.10	2.13	2.07	2.01	1.81	1.71	1.71	1.32	1.12
ACO	0.62	1.01	1.40	1.80	2.10	2.13	2.07	2.01	1.81	1.71	1.71	1.32	1.12
IDH	0.58	0.93	1.26	1.61	1.88	1.84	1.75	1.67	1.45	1.32	1.29	0.88	0.65
IDPH	0.03	0.08	0.12	0.16	0.20	0.25	0.28	0.30	0.32	0.34	0.37	0.39	0.41
KGD1KGD2	0.61	0.99	1.36	1.75	2.05	2.06	1.99	1.93	1.72	1.62	1.61	1.22	1.01
SDH12	0.61	1.00	1.38	1.77	2.07	2.09	2.03	1.97	1.77	1.66	1.66	1.27	1.07
FRDS2	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
FUM1	0.61	1.00	1.38	1.77	2.07	2.09	2.03	1.97	1.77	1.66	1.66	1.27	1.07
MDH1	0.62	1.01	1.40	1.80	2.10	2.13	2.07	2.01	1.81	1.71	1.71	1.32	1.12
NDI1	1.86	3.81	5.81	7.65	8.95	9.22	9.04	8.87	8.14	7.81	7.31	6.34	5.57
NDE2	1.60	2.14	2.56	3.21	3.91	5.41	5.23	5.00	4.95	4.68	5.42	4.71	4.75
SDH34	0.61	1.00	1.38	1.77	2.07	2.09	2.03	1.97	1.77	1.66	1.66	1.27	1.07
RIP1	4.07	6.95	9.75	12.63	14.93	16.72	16.31	15.83	14.86	14.15	14.39	12.32	11.39
COX1	8.15	13.90	19.50	25.26	29.85	33.44	32.61	31.67	29.71	28.30	28.78	24.63	22.77
ATP1	4.41	7.35	10.17	13.14	15.54	17.48	17.03	16.50	15.47	14.71	15.09	12.80	11.84
ShuttleX	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
ATPTransport	5.02	8.34	11.54	14.89	17.58	19.54	19.02	18.42	17.20	16.32	16.70	14.02	12.85
OAC1	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
PyrTrans	0.07	0.89	1.82	2.52	2.97	3.25	3.29	3.33	3.23	3.24	2.77	3.01	2.87
CAT2	0.67	0.40	0.02	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	0.26	-0.00	-0.00
CO2TRANS	1.23	2.76	4.36	5.78	6.76	6.98	6.85	6.73	6.19	5.95	5.44	4.85	4.26
ShuttleXRev	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
ATPTransportRev	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
OAC1Rev	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
PyrTransRev	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
CAT2Rev	-0.00	-0.00	-0.00	0.14	0.16	0.21	0.23	0.25	0.27	0.29	-0.00	0.29	0.26
