Rxn	Flux
acOUT	0.54	0.48	0.75
acIN	0.00	0.00	5.89
biomassOUT	0.08	0.09	0.07
co2OUT	2.85	3.26	7.45
ethOUT	0.00	0.00	0.00
glyOUT	-0.00	-0.00	-0.00
glcIN	1.15	0.00	0.00
o2IN	2.82	7.01	7.42
ethIN	0.00	3.78	0.00
PIIn	0.03	0.04	0.03
PIOut	-0.00	-0.00	-0.00
galIN	0.00	0.00	0.00
gluActiveIn	0.00	0.00	0.00
GAL1	-0.00	-0.00	-0.00
GAL10	0.00	0.00	0.00
GAL7b	0.00	0.00	0.00
PGM1_2	-0.00	0.00	0.00
HXK	1.15	-0.00	-0.00
PGI	0.94	-0.23	-0.41
PFK	0.92	-0.00	-0.00
FBP	-0.00	0.26	0.29
FBA	0.92	-0.26	-0.29
TPI	0.91	-0.26	-0.30
GLD	1.79	-0.58	-0.56
PGK	1.76	-0.61	-0.59
GPM	1.76	-0.61	-0.59
ENO	1.76	-0.61	-0.59
CDC	1.69	0.13	0.11
ZWF	0.01	0.01	0.22
PGL	0.01	0.01	0.22
GND	0.00	-0.00	0.22
RPI	0.03	0.03	0.10
RPE	-0.03	-0.03	0.12
TKLa	-0.00	-0.00	0.07
TAL1	-0.00	-0.00	0.07
TKLb	-0.02	-0.03	0.05
DAR	-0.00	-0.00	-0.00
GPP	0.00	0.00	0.00
PDC	0.54	-0.00	-0.00
ADH1	0.00	-3.78	0.00
ALD6	0.46	0.51	0.00
ALD2	0.08	3.27	-0.00
ICL1	0.14	0.98	0.91
MLS1	0.14	0.98	0.91
ATPX	1.00	1.00	1.00
PDH	1.03	-0.00	-0.00
ACS	-0.00	3.30	5.14
ADK1_1	0.00	3.30	5.14
PCK	-0.00	0.82	0.77
PYC	-0.00	-0.00	-0.00
CIT	0.70	2.10	4.05
ACO	0.70	2.10	4.05
IDH	0.48	1.04	3.08
IDPH	0.07	0.08	0.07
KGD1	0.54	1.11	3.14
LSC2	0.54	1.11	3.14
SDH12	0.69	2.09	4.04
FRDS2	-0.00	-0.00	-0.00
FUM1	0.69	2.09	4.04
MDH1	0.83	3.08	4.95
NDI1	2.99	5.34	10.76
NDE2	1.92	6.53	-0.00
SDH34	0.69	2.09	4.04
RIP1	5.60	13.97	14.81
COX1	11.20	27.94	29.61
ATP1	5.88	15.41	15.84
ShuttleX	-0.00	-0.00	-0.00
ATPTransport	6.42	16.52	18.98
OAC1	-0.00	-0.00	-0.00
PyrTrans	1.15	0.13	0.11
CAT2	-0.00	3.23	5.08
CO2TRANS	2.13	2.23	6.29
ShuttleXRev	-0.00	-0.00	0.51
ATPTransportRev	-0.00	-0.00	-0.00
OAC1Rev	0.14	0.97	0.90
PyrTransRev	-0.00	-0.00	-0.00
CAT2Rev	0.06	-0.00	-0.00
HDECOUP	-0.00	-0.00	-0.00
VGROPROTALT	-0.00	-0.00	-0.00
VGROPROT	0.29	0.32	0.27
VGRORNA	0.03	0.03	0.03
VGRODNA	0.00	0.00	0.00
VGROLIPID	0.00	0.00	0.00
VGROGLYCOGEN	0.00	0.00	0.00
VGROTREHALOSE	0.00	0.00	0.00
VGROMANNAN	-0.00	-0.00	-0.00
VGROGLUCAN	0.19	0.21	0.18
VGROMAINTAIN	4.25	4.77	4.04
GROWTH	0.08	0.09	0.07
