Rxn	Flux
acOUT	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.41	0.62	0.60
acIN	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
biomassOUT	0.01	0.03	0.07	0.11	0.16	0.21	0.22	0.21	0.25	0.29
co2OUT	0.80	1.40	2.70	4.20	5.70	7.50	8.00	8.80	14.90	18.90
ethOUT	0.00	0.00	0.00	0.00	0.00	0.00	0.11	2.30	9.50	13.90
glyOUT	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.15
glcIN	0.22	0.43	0.89	1.42	1.96	2.60	2.83	3.71	7.51	9.90
o2IN	0.79	1.39	2.67	4.15	5.64	7.42	7.80	6.42	5.27	4.81
ethIN	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PIIn	0.01	0.01	0.03	0.05	0.07	0.09	0.09	0.09	0.11	0.12
PIOut	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
galIN	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gluActiveIn	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
GAL1	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
GAL10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
GAL7b	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PGM1_2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
HXK	0.22	0.43	0.89	1.42	1.96	2.60	2.83	3.71	7.51	9.90
PGI	0.14	0.26	0.50	0.79	1.07	1.42	1.61	2.74	6.39	8.58
PFK	0.16	0.31	0.62	0.97	1.33	1.76	1.95	2.94	6.60	8.85
FBP	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
FBA	0.16	0.31	0.62	0.97	1.33	1.76	1.95	2.94	6.60	8.85
TPI	0.16	0.31	0.61	0.97	1.32	1.75	1.94	2.93	6.54	8.69
GLD	0.33	0.62	1.26	1.99	2.71	3.59	3.97	5.89	13.13	17.55
PGK	0.33	0.61	1.23	1.95	2.66	3.52	3.89	5.82	13.05	17.46
GPM	0.33	0.61	1.23	1.95	2.66	3.52	3.89	5.82	13.05	17.46
ENO	0.33	0.61	1.23	1.95	2.66	3.52	3.89	5.82	13.05	17.46
CDC	0.32	0.59	1.17	1.84	2.51	3.32	3.67	5.62	12.80	17.18
ZWF	0.04	0.09	0.21	0.35	0.48	0.64	0.64	0.43	0.47	0.58
PGL	0.04	0.09	0.21	0.35	0.48	0.64	0.64	0.43	0.47	0.58
GND	0.04	0.09	0.20	0.34	0.47	0.62	0.62	0.41	0.44	0.55
RPI	0.02	0.04	0.09	0.15	0.21	0.28	0.29	0.21	0.24	0.28
RPE	0.02	0.05	0.11	0.18	0.26	0.34	0.34	0.20	0.21	0.27
TKLa	0.01	0.03	0.07	0.11	0.15	0.20	0.20	0.13	0.14	0.17
TAL1	0.01	0.03	0.07	0.11	0.15	0.20	0.20	0.13	0.14	0.17
TKLb	0.01	0.02	0.05	0.08	0.11	0.14	0.14	0.07	0.07	0.09
DAR	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.15
GPP	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	0.05	0.15
PDC	0.00	0.00	0.00	0.00	0.00	0.00	0.19	2.71	10.12	14.50
ADH1	0.00	0.00	0.00	0.00	0.00	0.00	0.11	2.30	9.50	13.90
ALD6	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.41	0.62	0.60
ALD2	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
ICL1	0.00	0.00	0.01	0.01	0.02	0.03	0.03	0.03	0.03	0.04
MLS1	0.00	0.00	0.01	0.01	0.02	0.03	0.03	0.03	0.03	0.04
ATPX	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
PDH	0.27	0.49	0.94	1.47	2.00	2.63	2.75	2.23	1.85	1.74
ACS	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
PCK	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
PYC	0.02	0.05	0.12	0.20	0.27	0.37	0.39	0.36	0.44	0.50
CIT	0.24	0.41	0.77	1.18	1.60	2.09	2.19	1.70	1.21	1.01
ACO	0.24	0.41	0.77	1.18	1.60	2.09	2.19	1.70	1.21	1.01
IDH	0.23	0.38	0.70	1.06	1.43	1.87	1.95	1.48	0.94	0.71
IDPH	0.01	0.03	0.06	0.10	0.14	0.19	0.21	0.19	0.23	0.26
KGD1KGD2	0.24	0.40	0.75	1.15	1.56	2.04	2.13	1.64	1.14	0.94
SDH12	0.24	0.40	0.76	1.17	1.58	2.07	2.16	1.67	1.17	0.98
FRDS2	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
FUM1	0.24	0.40	0.76	1.17	1.58	2.07	2.16	1.67	1.17	0.98
MDH1	0.24	0.41	0.77	1.18	1.60	2.09	2.19	1.70	1.21	1.01
NDI1	1.00	1.71	3.25	5.02	6.79	8.92	9.32	7.32	5.48	4.79
NDE2	0.34	0.65	1.31	2.07	2.83	3.75	4.02	3.75	3.77	3.72
SDH34	0.24	0.40	0.76	1.17	1.58	2.07	2.16	1.67	1.17	0.98
RIP1	1.58	2.76	5.31	8.26	11.20	14.73	15.50	12.73	10.43	9.48
COX1	3.17	5.52	10.62	16.51	22.40	29.46	30.99	25.47	20.85	18.97
ATP1	1.65	2.87	5.53	8.59	11.65	15.33	16.13	13.28	10.88	9.89
ShuttleX	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
ATPTransport	1.89	3.27	6.28	9.74	13.21	17.37	18.26	14.92	12.03	10.83
OAC1	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
PyrTrans	0.29	0.53	1.05	1.64	2.24	2.95	3.09	2.54	2.24	2.18
CAT2	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
CO2TRANS	0.75	1.29	2.45	3.79	5.13	6.74	7.04	5.54	4.17	3.66
ShuttleXRev	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
ATPTransportRev	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
OAC1Rev	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
PyrTransRev	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
CAT2Rev	0.01	0.02	0.05	0.09	0.12	0.16	0.17	0.16	0.19	0.22
HDECOUP	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
VGROPROTALT	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
VGROPROT	0.05	0.11	0.25	0.42	0.58	0.78	0.83	0.77	0.94	1.06
VGRORNA	0.00	0.01	0.03	0.04	0.06	0.08	0.08	0.08	0.09	0.11
VGRODNA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
VGROLIPID	0.00	0.00	0.00	0.00	0.01	0.01	0.01	0.01	0.01	0.01
VGROGLYCOGEN	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.01	0.01	0.01
VGROTREHALOSE	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.01	0.01	0.01
VGROMANNAN	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
VGROGLUCAN	0.03	0.08	0.17	0.28	0.39	0.52	0.55	0.52	0.63	0.71
VGROMAINTAIN	0.71	1.68	3.78	6.21	8.64	11.56	12.29	11.48	13.97	15.78
GROWTH	0.01	0.03	0.07	0.11	0.16	0.21	0.22	0.21	0.25	0.29
